 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [19/Sep/2018 18:23:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:02] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:03] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:03] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:03] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:03] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 18:23:03] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 18:23:06] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [19/Sep/2018 18:23:07] "GET /t HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:10] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [19/Sep/2018 18:23:11] "GET /t HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:13] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [19/Sep/2018 18:23:13] "GET /t HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:15] "POST / HTTP/1.1" 302 -
127.0.0.1 - - [19/Sep/2018 18:23:16] "GET /t HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:23:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:27:13] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:27:13] "GET /static/materialize.min.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:27:13] "GET /static/main.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:27:13] "GET /static/main.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:27:13] "GET /static/logo_full_bg.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:27:14] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 18:28:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 18:33:37] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 19:27:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Sep/2018 19:27:17] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [19/Sep/2018 19:27:17] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
